sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
232,Farmers Training Programe specially for agricultural promotion (125-126) (CPT),LIVELIHOOD-232,2018-04-30,22195,198940,APSS
233,"Farmer Field School(FFS) establishment,-33",LIVELIHOOD-233,2018-05-03,19856,199960,APSS
234,Farmers Training Programe specially for agricultural promotion (127-128) (CPT),LIVELIHOOD-234,2018-05-03,22195,198940,APSS
235,Farmers Training Programe specially for agricultural promotion (129-130) (CPT),LIVELIHOOD-235,2018-05-03,22195,198940,APSS
236,Goat Rearing (Bill-29),LIVELIHOOD-236,2018-05-03,19200,200000,SIGS
237,"Farmer Field School(FFS) establishment,-35",LIVELIHOOD-237,2018-05-06,16488,199840,APSS
238,"Farmer Field School(FFS) establishment,-34",LIVELIHOOD-238,2018-05-06,15524,199849,APSS
239,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-1,LIVELIHOOD-239,2018-05-06,35920,199549,APSS
240,WMG member training for strenthening of WMG (Batch-41 & 42) ,LIVELIHOOD-240,2018-05-06,22456,197276,LT
241,WMG member training for strenthening of WMG (Batch-39 & 40) ,LIVELIHOOD-241,2018-05-06,22457,198675,LT
242,Goat Rearing (Bill-30),LIVELIHOOD-242,2018-05-07,19200,200000,SIGS
243,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-2,LIVELIHOOD-243,2018-05-07,33568,200000,APSS
244,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-3,LIVELIHOOD-244,2018-05-08,17657,199760,APSS
245,Farmers Training Programe specially for agricultural promotion (131-132) (CPT),LIVELIHOOD-245,2018-05-08,22195,198940,APSS
246,WMG member training for strenthening of WMG (Batch-43 & 44) ,LIVELIHOOD-246,2018-05-09,22457,199375,LT
247,WMG member training for strenthening of WMG (Batch-45 & 46) ,LIVELIHOOD-247,2018-05-10,22457,197975,LT
248,Farmers Training Programe specially for agricultural promotion (133-134) (CPT),LIVELIHOOD-248,2018-05-10,22195,198940,APSS
249,"Homestate Vegetable Cultivision 
Batch-13&14 (Bill-8)",LIVELIHOOD-249,2018-05-10,22190,198140,SIGS
250,"Training on Poultry and livestock rearing (Batch 15, 19)",LIVELIHOOD-250,2018-05-10,22035,197360,APSS
251,Training on Poultry and livestock rearing (Batch 16) & paramedical vetanary (Batch 2),LIVELIHOOD-251,2018-05-10,22064,197849,APSS
252,"Homestate Vegetable Cultivision 
Batch-15&16 (Bill-9)",LIVELIHOOD-252,2018-05-13,22190,198140,SIGS
253,Training on Poultry and livestock rearing (Batch 21-22),LIVELIHOOD-253,2018-05-13,22035,197360,APSS
254,Training on Poultry and livestock rearing (Batch 17-18),LIVELIHOOD-254,2018-05-13,22035,197360,APSS
255,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-4,LIVELIHOOD-255,2018-05-13,21608,199820,APSS
256,Goat Rearing (Bill-31),LIVELIHOOD-256,2018-05-14,19200,200000,SIGS
257,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-5,LIVELIHOOD-257,2018-05-14,22154,199879,APSS
258,"Training on Poultry and livestock rearing (Batch 22, 23)",LIVELIHOOD-258,2018-05-15,22035,197360,APSS
259,"Homestate Vegetable Cultivision 
Batch-17 & 21 ",LIVELIHOOD-259,2018-05-15,22190,198140,SIGS
260,Farmers Training Programe specially for agricultural promotion (135-136) (CPT),LIVELIHOOD-260,2018-05-15,22195,198940,APSS
261,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-6,LIVELIHOOD-261,2018-05-16,20622,199820,APSS
262,Goat Rearing (Bill-32),LIVELIHOOD-262,2018-05-16,19200,200000,SIGS
263,"Training on Poultry and livestock rearing (Batch 24, 25)",LIVELIHOOD-263,2018-05-16,22035,197360,APSS
264,"Homestate Vegetable Cultivision 
Batch-19 & 20",LIVELIHOOD-264,2018-05-17,22190,198140,SIGS
265,"Homestate Vegetable Cultivision 
Batch-18 & 22",LIVELIHOOD-265,2018-05-17,21995,197140,SIGS
265,"Training on Poultry and livestock rearing (Batch 26, 27)",LIVELIHOOD-265,2018-05-17,22035,197360,APSS
266,"Training on Poultry and livestock rearing (Batch 28, 29)",LIVELIHOOD-266,2018-05-17,22035,197360,APSS
267,Farmers Training Programe specially for agricultural promotion (137-138) (CPT),LIVELIHOOD-267,2018-05-17,22195,198940,APSS
268,WMG member training for strenthening of WMG (Batch-47 & 48) ,LIVELIHOOD-268,2018-05-20,22457,198675,LT
269,WMG member training for strenthening of WMG (Batch-49 & 450) ,LIVELIHOOD-269,2018-05-20,22457,195875,LT
270,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-7,LIVELIHOOD-270,2018-05-20,18985,199970,APSS
271,Nursery Management (01-02),LIVELIHOOD-271,2018-05-20,24943,195769,APSS
272,"Homestate Vegetable Cultivision 
Batch-23 & 24",LIVELIHOOD-272,2018-05-20,22190,198140,SIGS
273,Goat Rearing (Bill-33),LIVELIHOOD-273,2018-05-20,19200,200000,SIGS
274,Goat Rearing (Bill-34),LIVELIHOOD-274,2018-05-21,19200,200000,SIGS
275,"Training on Poultry and livestock rearing (Batch 30, 32)",LIVELIHOOD-275,2018-05-22,22035,197360,APSS
276,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-8,LIVELIHOOD-276,2018-05-22,20168,199919,APSS
277,Farmers Training Programe specially for agricultural promotion (139-140) (CPT),LIVELIHOOD-277,2018-05-22,22195,198940,APSS
278,Goat Rearing (Bill-35),LIVELIHOOD-278,2018-05-23,19200,200000,SIGS
279,WMG 51-52,LIVELIHOOD-279,2018-05-22,22457,199375,LT
280,Homestead (25-26),LIVELIHOOD-280,2018-05-24,22093,197640,APSS
281,ToT for IFM(FFS)-09,LIVELIHOOD-281,2018-05-24,23666,199929,APSS
282,Farmers Training Programe specially for agricultural promotion (141-142) (CPT),LIVELIHOOD-282,2018-05-24,22195,198940,APSS
283,Livestock Batch-31-33 (Paramedical & Vatinary),LIVELIHOOD-283,2018-05-24,22035,197360,APSS
284,Goat Rearing (Bill-36),LIVELIHOOD-284,2018-05-27,19200,200000,SIGS
285,WMG member training for strenthening of WMG (Batch-53 & 54) ,LIVELIHOOD-285,2018-05-27,22457,197275,LT
286,WMG member training for strenthening of WMG (Batch-55 & 56) ,LIVELIHOOD-286,2018-05-27,22457,195875,LT
287,Homestead (27-28),LIVELIHOOD-287,2018-05-27,22093,197640,APSS
288,Goat Rearing (Bill-37),LIVELIHOOD-288,2018-05-28,19200,200000,SIGS
289,Farmers Training Programe specially for agricultural promotion (143-144) (CPT),LIVELIHOOD-289,2018-05-29,22195,198940,APSS
290,WMG member training for strenthening of WMG (Batch-57 & 58) ,LIVELIHOOD-290,2018-05-29,22457,197275,LT
291,"Basic Tailoring (Bill-8, Part-B)",LIVELIHOOD-291,2018-05-30,17991,195940,SIGS
292,"Basic Tailoring (Bill-8, Part-A)",LIVELIHOOD-292,2018-05-30,24033,198230,SIGS
293,"Basic Tailoring (Bill-8, Part-C)",LIVELIHOOD-293,2018-05-30,9131,182960,SIGS
294,Farmers Training Programe specially for agricultural promotion (145-146) (CPT),LIVELIHOOD-294,2018-05-31,22195,198940,APSS
295,Livestock Batch-37-38 (Paramedical & Veterinary),LIVELIHOOD-295,2018-05-31,22035,197360,APSS
296,Livestock Batch-35-36 (Paramedical & Veterinary),LIVELIHOOD-296,2018-05-31,22035,197360,APSS
297,Homestead (29-30),LIVELIHOOD-297,2018-06-03,21995,197140,APSS
298,WMG member training for strenthening of WMG (Batch-61 & 62) ,LIVELIHOOD-298,2018-06-03,22457,195175,APSS
299,WMG member training for strenthening of WMG (Batch-59 & 60) ,LIVELIHOOD-299,2018-06-03,22457,199375,APSS
300,Livestock Batch-35 (Paramedical & Vet-03),LIVELIHOOD-300,2018-06-03,22035,197360,APSS
301,Goat Rearing (Bill-38),LIVELIHOOD-301,2018-06-04,19200,200000,SIGS
302,WMG member training for strenthening of WMG (Batch-63 & 64) ,LIVELIHOOD-302,2018-06-05,22457,198675,LT
303,Farmers Training Programe specially for agricultural promotion (147-148) (CPT),LIVELIHOOD-303,2018-06-05,22195,198940,APSS
304,Goat Rearing (Bill-39),LIVELIHOOD-304,2018-06-06,19200,200000,SIGS
305,"Basic Tailoring (Bill-9, Part-C)",LIVELIHOOD-305,2018-06-07,9131,182959,SIGS
306,"Basic Tailoring (Bill-9, Part-B)",LIVELIHOOD-306,2018-06-07,17991,195940,SIGS
307,"Basic Tailoring (Bill-9, Part-A)",LIVELIHOOD-307,2018-06-07,24033,198230,SIGS
308,Farmers Training Programe specially for agricultural promotion (149-150) (CPT),LIVELIHOOD-308,2018-06-07,22195,198940,APSS
309,WMG member training for strenthening of WMG (Batch-65 & 66) ,LIVELIHOOD-309,2018-06-10,22457,195875,LT
310,WMG member training for strenthening of WMG (Batch-67 & 68) ,LIVELIHOOD-310,2018-06-10,22457,197275,LT
311,WMG member training for strenthening of WMG (Batch-69 & 70) ,LIVELIHOOD-311,2018-06-10,22457,198675,LT
312,Farmers Training Programe specially for agricultural promotion (151-152) (CPT),LIVELIHOOD-312,2018-06-10,22195,198940,APSS
313,Farmers Training Programe specially for agricultural promotion (153-154) (CPT),LIVELIHOOD-313,2018-06-10,22195,198940,APSS
314,"Farmers Training Programe specially for agricultural promotion (155, Speed-1) (CPT)",LIVELIHOOD-314,2018-06-12,15994,160670,APSS
315,Field Staff Training Coordinator and XO,LIVELIHOOD-315,2018-06-24,22911,195946,APSS
316,Adaptive Trial + Straining Coordinator & XO,LIVELIHOOD-316,2018-06-24,21052,191460,APSS
317,Resource extension farmer dialog (BRRI),LIVELIHOOD-317,2018-06-26,7558,74530,APSS
318,Farmer Field Visit Program (BARD),LIVELIHOOD-318,2018-06-26,21859,183435,APSS
319,Hijol Tree & BRRI,LIVELIHOOD-319,2018-06-27,15008,184530,APSS
320,BARD Visit-2,LIVELIHOOD-320,2018-06-28,19914,162586,APSS
321,South-West Project Visit-1,LIVELIHOOD-321,2018-06-28,21975,198485,APSS
322,South-West Project Visit-2,LIVELIHOOD-322,2018-06-28,21975,198485,APSS
323,"Farmer Field Visit (BRRI, Gazipur)",LIVELIHOOD-323,2018-06-28,16700,173960,APSS
324,Farmers Training Programe specially for agricultural promotion (156-157) (CPT),LIVELIHOOD-324,2018-06-28,19155,160940,APSS
325,Aman-01,LIVELIHOOD-325,2018-06-28,19353,199499,APSS
326,Farmers Training Programe specially for agricultural promotion (158-159) (CPT),LIVELIHOOD-326,2018-06-28,25695,195140,APSS
327,BRRI (05-06),LIVELIHOOD-327,2018-06-28,16740,174320,APSS
328,Aman-02,LIVELIHOOD-328,2018-06-28,19316,199850,APSS
329,Aman-04,LIVELIHOOD-329,2018-06-30,9500,100000,APSS
330,Farmers Training Programe specially for agricultural promotion (160-161) (CPT),LIVELIHOOD-330,2018-06-30,19155,160940,APSS
331,Farmers Training Programe specially for agricultural promotion (161-162) (CPT),LIVELIHOOD-331,2018-06-30,19155,160940,APSS
332,Farmers Training Programe specially for agricultural promotion (164-165) (CPT),LIVELIHOOD-332,2018-06-30,19155,160940,APSS
333,Aman-03 (Adjust Bill),LIVELIHOOD-333,2018-06-30,19959,200000,APSS
334,Bag-LT,LIVELIHOOD-334,2018-06-30,-74594,1256667,LT
335,Bag-APSS,LIVELIHOOD-335,2018-06-30,-2006742,7939479,APSS
336,Bag-Sigs,LIVELIHOOD-336,2018-06-30,-482416,3246402,SIGS
